,PREVIOUS GAME,,,,,,,,,NEXT GAME,,,,,,RESULT
DATE,Game Length (min),Kills,Deaths,Assists,CS,CS/min,Gold Difference,Gold Diff/min,Win/Loss (1/0),Number of Friends ,FeelsGoodMan before game (1-10),Fatigue (min),Time,Time Value,Role (T/M/J/B/S),Win/Loss (1/0)
Jan 18,33,3,8,13,37,1.12,-413,-12.5,0,1,3,48,23:30,0.98,S,1
Jan 18,44,2,8,18,62,1.41,585,13.3,1,1,3,93,0:15,0.01,S,0
Jan 18,51,2,12,25,32,0.63,-7920,-155.3,0,1,2,144,1:15,0.05,S,1
Jan 19,41,9,9,13,168,4.10,-1285,-31.3,1,1,4,41,16:00,0.67,J,0
Jan 19,26,8,10,10,106,4.08,-979,-37.7,0,1,3,67,17:00,0.71,J,1
Jan 19,20,5,3,10,145,7.25,4834,241.7,1,1,5,87,17:30,0.73,J,1
Jan 19,30,6,5,12,127,4.23,1279,42.6,1,1,7,117,18:00,0.75,J,1
Jan 28,32,7,6,8,184,5.75,935,29.2,1,2,5,32,20:00,0.83,J,1
Jan 28,30,2,6,11,126,4.20,429,14.3,1,2,6,62,20:30,0.85,J,0
Jan 28,21,2,5,2,114,5.43,-3905,-186.0,0,2,5,92,21:10,0.88,M,0
Jan 28,40,10,7,17,206,5.15,1812,45.3,0,2,3,132,22:00,0.92,M,1
Jan 28,36,5,5,16,223,6.19,-968,-26.9,1,4,6,168,22:40,0.94,M,0
Feb 1,20,3,4,8,106,5.30,364,18.2,1,1,6,20,10:30,0.44,J,0
Feb 1,19,1,6,1,68,3.58,-4360,-229.5,0,1,4,39,11:00,0.46,M,0
Feb 1,28,1,7,5,140,5.00,-2431,-86.8,0,1,2,67,11:30,0.48,M,1
Feb 2,34,13,5,8,236,6.94,2100,61.8,1,1,7,34,18:30,0.77,M,1
Feb 2,25,8,2,3,177,7.08,3662,146.5,1,1,7,59,19:15,0.80,J,1
Feb 2,28,3,6,12,143,5.11,-1073,-38.3,1,1,4,87,19:45,0.82,M,0
Feb 4,37,8,11,20,185,5.00,-2001,-54.1,1,1,7,37,22:30,0.94,B,1
Feb 5,38,10,7,15,224,5.89,-494,-13.0,0,1,3,38,19:30,0.81,M,1
Feb 5,23,5,1,3,151,6.57,1835,79.8,1,1,8,61,20:00,0.83,B,0
Feb 5,34,1,7,12,195,5.74,-6161,-181.2,0,1,2,95,20:45,0.86,M,1
Feb 5,20,3,2,6,112,5.60,1582,79.1,1,1,4,115,20:15,0.84,M,0
Feb 5,26,6,9,4,125,4.81,-2784,-107.1,0,1,2,141,21:00,0.88,M,0
Feb 6,36,3,10,9,138,3.83,-6874,-190.9,1,1,5,36,18:30,0.77,M,0
Feb 6,23,6,8,8,136,5.91,-453,-19.7,0,1,3,59,19:00,0.79,M,0
Feb 6,26,2,7,3,127,4.88,-2958,-113.8,0,1,2,85,19:30,0.81,J,1
Feb 6,33,10,8,11,170,5.15,3590,108.8,1,1,6,118,20:15,0.84,J,1
Feb 6,36,4,7,15,172,4.78,-794,-22.1,1,1,7,154,21:00,0.88,J,0
Feb 8,48,3,7,25,192,4.00,-277,-5.8,0,2,5,50,14:30,0.60,S,1
Feb 8,36,4,5,10,35,0.97,555,15.4,1,2,6,86,15:15,0.64,S,1
